,Cells.all_samples.data.
1548,70_12_52
1549,70_12_54
1550,70_12_55
1551,70_12_56
1552,70_12_57
1553,70_12_60
1554,70_12_62
1555,70_12_64
1556,70_12_67
1557,70_12_69
1558,70_12_75
1559,70_12_83
1560,70_13_04
1561,70_13_08
1562,70_13_12
1563,70_13_28
1564,70_13_31
1565,70_13_38
1566,70_13_40
1567,70_13_41
1568,70_13_42
1569,70_13_43
1570,70_13_44
1571,70_13_49
1572,70_13_72
1573,70_13_83
1574,70_14_01
1575,70_14_07
1576,70_14_11
1577,70_14_12
1578,70_14_14
1579,70_14_18
1580,70_14_23
1581,70_14_25
1582,70_14_30
1583,70_14_38
1584,70_14_39
1585,70_14_44
1586,70_14_51
1587,70_14_56
1588,70_14_65
1589,70_14_70
1590,70_15_21
1591,70_15_41
1592,70_15_45
1593,70_15_57
1594,70_15_59
1595,70_15_75
1596,70_15_95
1597,70_16_10
1598,70_16_24
1599,70_16_25
1600,70_16_29
1601,70_16_39
1602,70_16_58
1603,70_16_62
1604,70_16_73
1605,70_16_74
1606,70_16_81
1607,70_16_89
1608,70_16_93
1609,70_16_96
1610,70_17_14
1611,70_17_28
1612,70_17_33
1613,70_17_39
1614,70_17_46
1615,70_17_71
1616,70_17_80
1617,70_18_02
1618,70_18_04
1619,70_18_17
1620,70_18_35
1621,70_18_38
1622,70_18_55
1623,70_18_66
1624,70_18_86
1625,70_18_89
1626,70_19_09
1627,70_19_18
1628,70_19_48
1629,70_19_54
1630,70_19_58
1631,70_19_63
1632,70_19_77
1633,70_19_81
1634,70_19_83
1635,70_20_14
1636,70_20_24
1637,70_20_33
1638,70_20_66
1639,70_20_72
1640,70_21_02
1641,70_21_16
1642,70_21_19
1643,70_21_32
1644,70_21_33
1645,70_21_44
1646,70_21_53
1647,70_21_56
1648,70_21_66
1649,70_21_73
1650,70_22_15
1651,70_22_24
1652,70_22_26
1653,70_22_32
1654,70_22_38
1655,70_22_41
1656,70_22_52
1657,70_22_94
